timestamp,ICMP loss,ICMP ping,ICMP response time,B12_ Bits_ received,B12_ Bits_ sent,B12_Duplex_ status,B12_ Inbound_ packets_ discarded,B12_ Inbound_ packets_ with_ errors,B12_Interface_ type,B12_ Operational_ status,B12_Outbound_ packets_ discarded,B12_Outbound_ packets_ with_ errors,B12_ Speed,B13_ Bits_ received,B13_ Bits_ sent,B13_ Duplex_ status,B13_ Inbound_ packets_ discarded,B13_ Inbound_ packets_ with_ errors,B13_ Interface type,B13_ Operational_ status,B13_ Outbound_ packets_ discarded,B13_Outbound_ packets_ with_ errors,B13_Speed,C3_ Bits_ received,C3_ Bits_ sent,C3_ Duplex_ status,C3_ Inbound_ packets_ discarded,C3_ Inbound_ packets_ with_ errors,C3_ Interface_ type,C3_Operational_ status,C3_ Outbound_ packets_ discarded,C3_ Outbound_ packets_ with_ errors,C3_ Speed,B14_Bits_ received,B14_ Bits_ sent,B14_Inbound_ packets_ discarded,B14_Inbound_ packets_ with_ errors,B14_Interface_ type,B14_ Operational_ status,B14_ Outbound_ packets_ discarded,B14_ Outbound_ packets_ with_ errors,B14_ Speed,SNMP agent availability,Uptime (network),class,router_name,hop_to_server,hop_to_core,downstream_dependents,path_up
1761835920,0,1,0.606666667,128,176,2,0,0,6,1,0,0,10000000,128,184,2,0,0,6,1,0,0,10000000,37200,964928,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30086,H,CORE-R6,5,3,1,1
1761835980,0,1,0.580666667,131,184,2,0,0,6,1,0,0,10000000,133,187,2,0,0,6,1,0,0,10000000,37803,969400,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30146,H,CORE-R6,5,3,1,1
1761836040,0,1,0.576666667,133,192,2,0,0,6,1,0,0,10000000,139,189,2,0,0,6,1,0,0,10000000,38405,973872,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30206,H,CORE-R6,5,3,1,1
1761836100,0,1,0.291666667,136,200,2,0,0,6,1,0,0,10000000,144,192,2,0,0,6,1,0,0,10000000,39008,978344,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30265,H,CORE-R6,5,3,1,1
1761836160,0,1,0.535333333,139,200,2,0,0,6,1,0,0,10000000,149,192,2,0,0,6,1,0,0,10000000,38984,978392,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30325,H,CORE-R6,5,3,1,1
1761836220,0,1,0.481666667,141,200,2,0,0,6,1,0,0,10000000,155,192,2,0,0,6,1,0,0,10000000,38960,978440,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30386,H,CORE-R6,5,3,1,1
1761836280,0,1,0.527333333,144,200,2,0,0,6,1,0,0,10000000,160,192,2,0,0,6,1,0,0,10000000,38936,978488,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30445,H,CORE-R6,5,3,1,1
1761836340,0,1,0.411666667,136,189,2,0,0,6,1,0,0,10000000,147,184,2,0,0,6,1,0,0,10000000,39157,990648,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30507,H,CORE-R6,5,3,1,1
1761836400,100,0,0,128,179,2,0,0,6,1,0,0,10000000,133,176,2,0,0,6,1,0,0,10000000,39379,1002808,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30567,T,CORE-R6,5,3,1,1
1761836460,0,1,0.554666667,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,39600,1014968,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30626,H,CORE-R6,5,3,1,1
